,condition
875,T2
876,T2
877,T2
878,T2
879,T2
880,T2
881,T2
882,T2
883,T2
884,T2
885,T2
886,T2
887,T2
888,T2
889,T2
890,T2
891,T2
892,T2
893,T2
894,T2
895,T2
896,T2
897,T2
898,T2
899,T2
900,T2
901,T2
902,T2
903,T2
904,T2
905,T2
906,T2
907,T2
908,T2
909,T2
910,T2
911,T2
912,T2
913,T2
914,T2
915,T2
916,T2
917,T2
918,T2
919,T2
920,T2
921,T2
922,T2
923,T2
924,T2
925,T2
926,T2
927,T2
928,T2
929,T2
930,T2
931,T2
932,T2
933,T2
934,T2
935,T2
936,T2
937,T2
938,T2
939,T2
940,T2
941,T2
942,T2
943,T2
944,T2
945,T2
946,T2
947,T2
948,T2
949,T2
950,T2
951,T2
952,T2
953,T2
954,T2
955,T2
956,T2
957,T2
958,T2
959,T2
960,T2
961,T2
962,T2
963,T2
964,T2
965,T2
966,T2
967,T2
968,T2
969,T2
970,T2
971,T2
972,T2
973,T2
974,T2
975,T2
976,T2
977,T2
978,T2
979,T2
980,T2
981,T2
982,T2
983,T2
984,T2
985,T2
986,T2
987,T2
988,T2
989,T2
990,T2
991,T2
992,T2
993,T2
994,T2
995,T2
996,T2
997,T2
998,T2
999,T2
1000,T2
1001,T2
1002,T2
1003,T2
1004,T2
1005,T2
1006,T2
1007,T2
1008,T2
1009,T2
1010,T2
1011,T2
1012,T2
1013,T2
1014,T2
1015,T2
1016,T2
1017,T2
1018,T2
1019,T2
1020,T2
1021,T2
1022,T2
1023,T2
1024,T2
1025,T2
1026,T2
1027,T2
1028,T2
1029,T2
1030,T2
1031,T2
1032,T2
1033,T2
1034,T2
1035,T2
1036,T2
1037,T2
1038,T2
1039,T2
1040,T2
1041,T2
1042,T2
1043,T2
1044,T2
1045,T2
1046,T2
1047,T2
1048,T2
1049,T2
1050,T2
1051,T2
1052,T2
1053,T2
1054,T2
1055,T2
1056,T2
1057,T2
1058,T2
1059,T2
1060,T2
1061,T2
1062,T2
1063,T2
1064,T2
1065,T2
1066,T2
1067,T2
1068,T2
1069,T2
1070,T2
1071,T2
1072,T2
1073,T2
1074,T2
1075,T2
1076,T2
1077,T2
1078,T2
1079,T2
1080,T2
1081,T2
1082,T2
1083,T2
1084,T2
1085,T2
1086,T2
1087,T2
1088,T2
1089,T2
1090,T2
1091,T2
1092,T2
1093,T2
1094,T2
1095,T2
1096,T2
1097,T2
1098,T2
1099,T2
1100,T2
1101,T2
1102,T2
1103,T2
1104,T2
1105,T2
1106,T2
1107,T2
1108,T2
1109,T2
1110,T2
1111,T2
1112,T2
1113,T2
1114,T2
1115,T2
1116,T2
1117,T2
1118,T2
1119,T2
1120,T2
1121,T2
1122,T2
1123,T2
1124,T2
1125,T2
1126,T2
1127,T2
1128,T2
1129,T2
1130,T2
1131,T2
1132,T2
1133,T2
1134,T2
1135,T2
1136,T2
1137,T2
1138,T2
1139,T2
1140,T2
1141,T2
1142,T2
1143,T2
1144,T2
1145,T2
1146,T2
1147,T2
1148,T2
1149,T2
1150,T2
1151,T2
1152,T2
1153,T2
1154,T2
1155,T2
1156,T2
1157,T2
1158,T2
1159,T2
1160,T2
1161,T2
1162,T2
1163,T2
1164,T2
1165,T2
1166,T2
1167,T2
1168,T2
1169,T2
1170,T2
1171,T2
1172,T2
1173,T2
1174,T2
1175,T2
1176,T2
1177,T2
1178,T2
1179,T2
1180,T2
1181,T2
1182,T2
1183,T2
1184,T2
1185,T2
1186,T2
1187,T2
1188,T2
1189,T2
1190,T2
1191,T2
1192,T2
1193,T2
1194,T2
1195,T2
1196,T2
1197,T2
1198,T2
1199,T2
1200,T2
1201,T2
1202,T2
1203,T2
1204,T2
1205,T2
1206,T2
1207,T2
1208,T2
1209,T2
1210,T2
1211,T2
1212,T2
1213,T2
1214,T2
1215,T2
1216,T2
1217,T2
1218,T2
1219,T2
1220,T2
1221,T2
1222,T2
1223,T2
1224,T2
1225,T2
1226,T2
1227,T2
1228,T2
1229,T2
1230,T2
1231,T2
1232,T2
1233,T2
1234,T2
1235,T2
1236,T2
1237,T2
1238,T2
1239,T2
1240,T2
1241,T2
1242,T2
1243,T2
1244,T2
1245,T2
1246,T2
1247,T2
1248,T2
1249,T2
1250,T2
1251,T2
1252,T2
1253,T2
1254,T2
1255,T2
1256,T2
1257,T2
1258,T2
1259,T2
1260,T2
1261,T2
1262,T2
1263,T2
1264,T2
1265,T2
1266,T2
1267,T2
1268,T2
1269,T2
1270,T2
1271,T2
1272,T2
1273,T2
1274,T2
1275,T2
1276,T2
1277,T2
1278,T2
1279,T2
1280,T2
1281,T2
1282,T2
1283,T2
1284,T2
1285,T2
1286,T2
1287,T2
1288,T2
1289,T2
1290,T2
1291,T2
1292,T2
1293,T2
1294,T2
1295,T2
1296,T2
1297,T2
1298,T2
1299,T2
1300,T2
1301,T2
1302,T2
1303,T2
1304,T2
1305,T2
1306,T2
1307,T2
1308,T2
1309,T2
1310,T2
1311,T2
1312,T2
1313,T2
1314,T2
1315,T2
1316,T2
1317,T2
1318,T2
1319,T2
1320,T2
1321,T2
1322,T2
1323,T2
1324,T2
1325,T2
1326,T2
1327,T2
1328,T2
1329,T2
3325,T1
3326,T1
3327,T1
3328,T1
3329,T1
3330,T1
3331,T1
3332,T1
3333,T1
3334,T1
3335,T1
3336,T1
3337,T1
3338,T1
3339,T1
3340,T1
3341,T1
3342,T1
3343,T1
3344,T1
3345,T1
3346,T1
3347,T1
3348,T1
3349,T1
3350,T1
3351,T1
3352,T1
3353,T1
3354,T1
3355,T1
3356,T1
3357,T1
3358,T1
3359,T1
3360,T1
3361,T1
3362,T1
3363,T1
3364,T1
3365,T1
3366,T1
3367,T1
3368,T1
3369,T1
3370,T1
3371,T1
3372,T1
3373,T1
3374,T1
3375,T1
3376,T1
3377,T1
3378,T1
3379,T1
3380,T1
3381,T1
3382,T1
3383,T1
3384,T1
3385,T1
3386,T1
3387,T1
3388,T1
3389,T1
3390,T1
3391,T1
3392,T1
3393,T1
3394,T1
3395,T1
3396,T1
3397,T1
3398,T1
3399,T1
3400,T1
3401,T1
3402,T1
3403,T1
3404,T1
3405,T1
3406,T1
3407,T1
3408,T1
3409,T1
3410,T1
3411,T1
3412,T1
3413,T1
3414,T1
3415,T1
3416,T1
3417,T1
3418,T1
3419,T1
3420,T1
3421,T1
3422,T1
3423,T1
3424,T1
3425,T1
3426,T1
3427,T1
3428,T1
3429,T1
3430,T1
3431,T1
3432,T1
3433,T1
3434,T1
3435,T1
3436,T1
3437,T1
3438,T1
3439,T1
3440,T1
3441,T1
3442,T1
3443,T1
3444,T1
3445,T1
3446,T1
3447,T1
3448,T1
3449,T1
3450,T1
3451,T1
3452,T1
3453,T1
3454,T1
3455,T1
3456,T1
3457,T1
3458,T1
3459,T1
3460,T1
3461,T1
3462,T1
3463,T1
3464,T1
3465,T1
3466,T1
3467,T1
3468,T1
3469,T1
3470,T1
3471,T1
3472,T1
3473,T1
3474,T1
3475,T1
3476,T1
3477,T1
3478,T1
3479,T1
3480,T1
3481,T1
3482,T1
3483,T1
3484,T1
3485,T1
3486,T1
3487,T1
3488,T1
3489,T1
3490,T1
3491,T1
3492,T1
3493,T1
3494,T1
3495,T1
3496,T1
3497,T1
3498,T1
3499,T1
3500,T1
3501,T1
3502,T1
3503,T1
3504,T1
3505,T1
3506,T1
3507,T1
3508,T1
3509,T1
3510,T1
3511,T1
3512,T1
3513,T1
3514,T1
3515,T1
3516,T1
3517,T1
3518,T1
3519,T1
3520,T1
3521,T1
3522,T1
3523,T1
3524,T1
3525,T1
3526,T1
3527,T1
3528,T1
3529,T1
3530,T1
3531,T1
3532,T1
3533,T1
3534,T1
3535,T1
3536,T1
3537,T1
3538,T1
3539,T1
3540,T1
3541,T1
3542,T1
3543,T1
3544,T1
3545,T1
3546,T1
3547,T1
3548,T1
3549,T1
3550,T1
3551,T1
3552,T1
3553,T1
3554,T1
3555,T1
3556,T1
3557,T1
3558,T1
3559,T1
3560,T1
3561,T1
3562,T1
3563,T1
3564,T1
3565,T1
3566,T1
3567,T1
3568,T1
3569,T1
3570,T1
3571,T1
3572,T1
3573,T1
3574,T1
3575,T1
3576,T1
3577,T1
3578,T1
3579,T1
3580,T1
3581,T1
3582,T1
3583,T1
3584,T1
3585,T1
3586,T1
3587,T1
3588,T1
3589,T1
3590,T1
3591,T1
3592,T1
3593,T1
3594,T1
3595,T1
3596,T1
3597,T1
3598,T1
3599,T1
3600,T1
3601,T1
3602,T1
3603,T1
3604,T1
3605,T1
3606,T1
3607,T1
3608,T1
3609,T1
3610,T1
3611,T1
3612,T1
3613,T1
3614,T1
3615,T1
3616,T1
3617,T1
3618,T1
3619,T1
3620,T1
3621,T1
3622,T1
3623,T1
3624,T1
3625,T1
3626,T1
3627,T1
3628,T1
3629,T1
3630,T1
3631,T1
3632,T1
3633,T1
3634,T1
3635,T1
3636,T1
3637,T1
3638,T1
3639,T1
3640,T1
3641,T1
3642,T1
3643,T1
3644,T1
3645,T1
3646,T1
3647,T1
3648,T1
3649,T1
3650,T1
3651,T1
3652,T1
3653,T1
3654,T1
3655,T1
3656,T1
3657,T1
3658,T1
3659,T1
3660,T1
3661,T1
3662,T1
3663,T1
3664,T1
3665,T1
3666,T1
3667,T1
3668,T1
3669,T1
3670,T1
3671,T1
3672,T1
3673,T1
3674,T1
3675,T1
3676,T1
3677,T1
3678,T1
3679,T1
3680,T1
3681,T1
3682,T1
3683,T1
3684,T1
3685,T1
3686,T1
3687,T1
3688,T1
3689,T1
3690,T1
3691,T1
3692,T1
3693,T1
3694,T1
3695,T1
3696,T1
3697,T1
3698,T1
3699,T1
3700,T1
3701,T1
3702,T1
3703,T1
3704,T1
3705,T1
3706,T1
3707,T1
3708,T1
3709,T1
3710,T1
3711,T1
3712,T1
3713,T1
3714,T1
3715,T1
3716,T1
3717,T1
3718,T1
3719,T1
3720,T1
3721,T1
3722,T1
3723,T1
3724,T1
3725,T1
3726,T1
3727,T1
3728,T1
3729,T1
3730,T1
3731,T1
3732,T1
3733,T1
3734,T1
3735,T1
3736,T1
3737,T1
3738,T1
3739,T1
3740,T1
3741,T1
3742,T1
3743,T1
3744,T1
3745,T1
3746,T1
3747,T1
3748,T1
3749,T1
3750,T1
3751,T1
3752,T1
3753,T1
3754,T1
3755,T1
3756,T1
3757,T1
3758,T1
3759,T1
3760,T1
3761,T1
3762,T1
3763,T1
3764,T1
3765,T1
3766,T1
3767,T1
3768,T1
3769,T1
3770,T1
3771,T1
3772,T1
3773,T1
3774,T1
3775,T1
3776,T1
3777,T1
3778,T1
3779,T1
3780,T1
3781,T1
3782,T1
3783,T1
3784,T1
3785,T1
3786,T1
3787,T1
3788,T1
3789,T1
3790,T1
3791,T1
3792,T1
3793,T1
3794,T1
3795,T1
3796,T1
3797,T1
3798,T1
3799,T1
3800,T1
3801,T1
3802,T1
3803,T1
3804,T1
3805,T1
3806,T1
3807,T1
3808,T1
3809,T1
3810,T1
3811,T1
3812,T1
3813,T1
3814,T1
3815,T1
3816,T1
3817,T1
3818,T1
3819,T1
3820,T1
3821,T1
3822,T1
3823,T1
3824,T1
3825,T1
3826,T1
3827,T1
3828,T1
3829,T1
3830,T1
3831,T1
3832,T1
3833,T1
3834,T1
3835,T1
3836,T1
3837,T1
3838,T1
3839,T1
3840,T1
3841,T1
3842,T1
3843,T1
3844,T1
3845,T1
3846,T1
3847,T1
3848,T1
3849,T1
3850,T1
3851,T1
3852,T1
3853,T1
3854,T1
3855,T1
3856,T1
3857,T1
3858,T1
3859,T1
3860,T1
3861,T1
3862,T1
3863,T1
3864,T1
3865,T1
3866,T1
3867,T1
3868,T1
3869,T1
3870,T1
3871,T1
3872,T1
3873,T1
3874,T1
3875,T1
3876,T1
3877,T1
3878,T1
3879,T1
3880,T1
3881,T1
3882,T1
3883,T1
3884,T1
3885,T1
3886,T1
3887,T1
3888,T1
3889,T1
3890,T1
3891,T1
3892,T1
3893,T1
3894,T1
3895,T1
3896,T1
3897,T1
3898,T1
3899,T1
3900,T1
3901,T1
3902,T1
3903,T1
3904,T1
3905,T1
3906,T1
3907,T1
3908,T1
3909,T1
3910,T1
3911,T1
3912,T1
3913,T1
3914,T1
3915,T1
3916,T1
3917,T1
3918,T1
3919,T1
3920,T1
3921,T1
3922,T1
3923,T1
3924,T1
3925,T1
3926,T1
3927,T1
3928,T1
3929,T1
3930,T1
3931,T1
3932,T1
3933,T1
3934,T1
3935,T1
3936,T1
3937,T1
3938,T1
3939,T1
3940,T1
3941,T1
3942,T1
3943,T1
3944,T1
3945,T1
3946,T1
3947,T1
3948,T1
3949,T1
3950,T1
3951,T1
3952,T1
3953,T1
3954,T1
3955,T1
3956,T1
3957,T1
3958,T1
3959,T1
3960,T1
3961,T1
3962,T1
3963,T1
3964,T1
3965,T1
3966,T1
3967,T1
3968,T1
3969,T1
3970,T1
3971,T1
3972,T1
3973,T1
3974,T1
3975,T1
3976,T1
3977,T1
3978,T1
3979,T1
3980,T1
3981,T1
3982,T1
3983,T1
3984,T1
3985,T1
3986,T1
3987,T1
3988,T1
3989,T1
5985,T2
5986,T2
5987,T2
5988,T2
5989,T2
5990,T2
5991,T2
5992,T2
5993,T2
5994,T2
5995,T2
5996,T2
5997,T2
5998,T2
5999,T2
6000,T2
6001,T2
6002,T2
6003,T2
6004,T2
6005,T2
6006,T2
6007,T2
6008,T2
6009,T2
6010,T2
6011,T2
6012,T2
6013,T2
6014,T2
6015,T2
6016,T2
6017,T2
6018,T2
6019,T2
6020,T2
6021,T2
6022,T2
6023,T2
6024,T2
6025,T2
6026,T2
6027,T2
6028,T2
6029,T2
6030,T2
6031,T2
6032,T2
6033,T2
6034,T2
6035,T2
6036,T2
6037,T2
6038,T2
6039,T2
6040,T2
6041,T2
6042,T2
6043,T2
6044,T2
6045,T2
6046,T2
6047,T2
6048,T2
6049,T2
6050,T2
6051,T2
6052,T2
6053,T2
6054,T2
6055,T2
6056,T2
6057,T2
6058,T2
6059,T2
6060,T2
6061,T2
6062,T2
6063,T2
6064,T2
6065,T2
6066,T2
6067,T2
6068,T2
6069,T2
6070,T2
6071,T2
6072,T2
6073,T2
6074,T2
6075,T2
6076,T2
6077,T2
6078,T2
6079,T2
6080,T2
6081,T2
6082,T2
6083,T2
6084,T2
6085,T2
6086,T2
6087,T2
6088,T2
6089,T2
6090,T2
6091,T2
6092,T2
6093,T2
6094,T2
6095,T2
6096,T2
6097,T2
6098,T2
6099,T2
6100,T2
6101,T2
6102,T2
6103,T2
6104,T2
6105,T2
6106,T2
6107,T2
6108,T2
6109,T2
6110,T2
6111,T2
6112,T2
6113,T2
6114,T2
6115,T2
6116,T2
6117,T2
6118,T2
6119,T2
6120,T2
6121,T2
6122,T2
6123,T2
6124,T2
6125,T2
6126,T2
6127,T2
6128,T2
6129,T2
6130,T2
6131,T2
6132,T2
6133,T2
6134,T2
6135,T2
6136,T2
6137,T2
6138,T2
6139,T2
6140,T2
6141,T2
6142,T2
6143,T2
6144,T2
6145,T2
6146,T2
6147,T2
6148,T2
6149,T2
6150,T2
6151,T2
6152,T2
6153,T2
6154,T2
6155,T2
6156,T2
6157,T2
6158,T2
6159,T2
6160,T2
6161,T2
6162,T2
6163,T2
6164,T2
6165,T2
6166,T2
6167,T2
6168,T2
6169,T2
6170,T2
6171,T2
6172,T2
6173,T2
6174,T2
6175,T2
6176,T2
6177,T2
6178,T2
6179,T2
6180,T2
6181,T2
6182,T2
6183,T2
6184,T2
6185,T2
6186,T2
6187,T2
6188,T2
6189,T2
6190,T2
6191,T2
6192,T2
6193,T2
6194,T2
6195,T2
6196,T2
6197,T2
6198,T2
6199,T2
6200,T2
6201,T2
6202,T2
6203,T2
6204,T2
6205,T2
6206,T2
6207,T2
6208,T2
6209,T2
6210,T2
6211,T2
6212,T2
6213,T2
6214,T2
6215,T2
6216,T2
6217,T2
6218,T2
6219,T2
6220,T2
6221,T2
6222,T2
6223,T2
6224,T2
6225,T2
6226,T2
6227,T2
6228,T2
6229,T2
6230,T2
6231,T2
6232,T2
6233,T2
6234,T2
6235,T2
6236,T2
6237,T2
6238,T2
6239,T2
6240,T2
6241,T2
6242,T2
6243,T2
6244,T2
6245,T2
6246,T2
6247,T2
6248,T2
6249,T2
6250,T2
6251,T2
6252,T2
6253,T2
6254,T2
6255,T2
6256,T2
6257,T2
6258,T2
6259,T2
6260,T2
6261,T2
6262,T2
6263,T2
6264,T2
6265,T2
6266,T2
6267,T2
6268,T2
6269,T2
6270,T2
6271,T2
6272,T2
6273,T2
6274,T2
6275,T2
6276,T2
6277,T2
6278,T2
6279,T2
6280,T2
6281,T2
6282,T2
6283,T2
6284,T2
6285,T2
6286,T2
6287,T2
6288,T2
6289,T2
6290,T2
6291,T2
6292,T2
6293,T2
6294,T2
6295,T2
6296,T2
6297,T2
6298,T2
6299,T2
6300,T2
6301,T2
6302,T2
6303,T2
6304,T2
6305,T2
6306,T2
6307,T2
6308,T2
6309,T2
6310,T2
6311,T2
6312,T2
6313,T2
6314,T2
6315,T2
6316,T2
6317,T2
6318,T2
6319,T2
6320,T2
6321,T2
6322,T2
6323,T2
6324,T2
6325,T2
6326,T2
6327,T2
6328,T2
6329,T2
6330,T2
6331,T2
6332,T2
6333,T2
6334,T2
6335,T2
6336,T2
6337,T2
6338,T2
6339,T2
6340,T2
6341,T2
6342,T2
6343,T2
6344,T2
6345,T2
6346,T2
6347,T2
6348,T2
6349,T2
6350,T2
6351,T2
6352,T2
6353,T2
6354,T2
6355,T2
6356,T2
6357,T2
6358,T2
6359,T2
6360,T2
6361,T2
6362,T2
6363,T2
6364,T2
6365,T2
6366,T2
6367,T2
6368,T2
6369,T2
6370,T2
6371,T2
6372,T2
6373,T2
6374,T2
6375,T2
6376,T2
6377,T2
6378,T2
6379,T2
6380,T2
6381,T2
6382,T2
6383,T2
6384,T2
6385,T2
6386,T2
6387,T2
6388,T2
6389,T2
6390,T2
6391,T2
6392,T2
6393,T2
6394,T2
6395,T2
6396,T2
6397,T2
6398,T2
6399,T2
6400,T2
6401,T2
6402,T2
6403,T2
6404,T2
6405,T2
6406,T2
6407,T2
6408,T2
6409,T2
6410,T2
6411,T2
6412,T2
6413,T2
6414,T2
6415,T2
6416,T2
6417,T2
6418,T2
6419,T2
6420,T2
6421,T2
6422,T2
6423,T2
6424,T2
6425,T2
6426,T2
6427,T2
6428,T2
6429,T2
6430,T2
6431,T2
6432,T2
6433,T2
6434,T2
6435,T2
6436,T2
6437,T2
6438,T2
6439,T2
6440,T2
6441,T2
6442,T2
6443,T2
6444,T2
6445,T2
6446,T2
6447,T2
6448,T2
6449,T2
6450,T2
6451,T2
6452,T2
6453,T2
6454,T2
6455,T2
6456,T2
6457,T2
6458,T2
6459,T2
6460,T2
6461,T2
6462,T2
6463,T2
6464,T2
6465,T2
6466,T2
6467,T2
6468,T2
6469,T2
6470,T2
6471,T2
6472,T2
6473,T2
6474,T2
6475,T2
6476,T2
6477,T2
6478,T2
6479,T2
6480,T2
6481,T2
6482,T2
6483,T2
6484,T2
6485,T2
6486,T2
6487,T2
6488,T2
6489,T2
6490,T2
6491,T2
6492,T2
6493,T2
6494,T2
6495,T2
6496,T2
6497,T2
6498,T2
6499,T2
6500,T2
6501,T2
6502,T2
6503,T2
6504,T2
6505,T2
6506,T2
6507,T2
6508,T2
6509,T2
6510,T2
6511,T2
6512,T2
6513,T2
6514,T2
6515,T2
6516,T2
6517,T2
6518,T2
6519,T2
6520,T2
6521,T2
6522,T2
6523,T2
6524,T2
6525,T2
6526,T2
6527,T2
6528,T2
6529,T2
6530,T2
6531,T2
6532,T2
6533,T2
6534,T2
6535,T2
6536,T2
6537,T2
6538,T2
6539,T2
6540,T2
6541,T2
6542,T2
6543,T2
6544,T2
6545,T2
6546,T2
6547,T2
6548,T2
6549,T2
6550,T2
6551,T2
6552,T2
6553,T2
6554,T2
6555,T2
6556,T2
6557,T2
6558,T2
6559,T2
6560,T2
6561,T2
6562,T2
6563,T2
6564,T2
6565,T2
6566,T2
6567,T2
6568,T2
6569,T2
6570,T2
6571,T2
6572,T2
6573,T2
6574,T2
6575,T2
6576,T2
6577,T2
6578,T2
6579,T2
6580,T2
6581,T2
6582,T2
6583,T2
6584,T2
6585,T2
6586,T2
6587,T2
6588,T2
6589,T2
6590,T2
6591,T2
6592,T2
6593,T2
6594,T2
6595,T2
6596,T2
6597,T2
6598,T2
6599,T2
6600,T2
6601,T2
6602,T2
6603,T2
6604,T2
6605,T2
6606,T2
6607,T2
6608,T2
6609,T2
6610,T2
6611,T2
6612,T2
6613,T2
6614,T2
6615,T2
6616,T2
6617,T2
6618,T2
6619,T2
6620,T2
6621,T2
6622,T2
6623,T2
6624,T2
6625,T2
6626,T2
6627,T2
6628,T2
6629,T2
6630,T2
6631,T2
6632,T2
6633,T2
6634,T2
6635,T2
6636,T2
6637,T2
6638,T2
6639,T2
6640,T2
6641,T2
6642,T2
6643,T2
6644,T2
6645,T2
6646,T2
6647,T2
6648,T2
6649,T2
7315,T1
7316,T1
7317,T1
7318,T1
7319,T1
7320,T1
7321,T1
7322,T1
7323,T1
7324,T1
7325,T1
7326,T1
7327,T1
7328,T1
7329,T1
7330,T1
7331,T1
7332,T1
7333,T1
7334,T1
7335,T1
7336,T1
7337,T1
7338,T1
7339,T1
7340,T1
7341,T1
7342,T1
7343,T1
7344,T1
7345,T1
7346,T1
7347,T1
7348,T1
7349,T1
7350,T1
7351,T1
7352,T1
7353,T1
7354,T1
7355,T1
7356,T1
7357,T1
7358,T1
7359,T1
7360,T1
7361,T1
7362,T1
7363,T1
7364,T1
7365,T1
7366,T1
7367,T1
7368,T1
7369,T1
7370,T1
7371,T1
7372,T1
7373,T1
7374,T1
7375,T1
7376,T1
7377,T1
7378,T1
7379,T1
7380,T1
7381,T1
7382,T1
7383,T1
7384,T1
7385,T1
7386,T1
7387,T1
7388,T1
7389,T1
7390,T1
7391,T1
7392,T1
7393,T1
7394,T1
7395,T1
7396,T1
7397,T1
7398,T1
7399,T1
7400,T1
7401,T1
7402,T1
7403,T1
7404,T1
7405,T1
7406,T1
7407,T1
7408,T1
7409,T1
7410,T1
7411,T1
7412,T1
7413,T1
7414,T1
7415,T1
7416,T1
7417,T1
7418,T1
7419,T1
7420,T1
7421,T1
7422,T1
7423,T1
7424,T1
7425,T1
7426,T1
7427,T1
7428,T1
7429,T1
7430,T1
7431,T1
7432,T1
7433,T1
7434,T1
7435,T1
7436,T1
7437,T1
7438,T1
7439,T1
7440,T1
7441,T1
7442,T1
7443,T1
7444,T1
7445,T1
7446,T1
7447,T1
7448,T1
7449,T1
7450,T1
7451,T1
7452,T1
7453,T1
7454,T1
7455,T1
7456,T1
7457,T1
7458,T1
7459,T1
7460,T1
7461,T1
7462,T1
7463,T1
7464,T1
7465,T1
7466,T1
7467,T1
7468,T1
7469,T1
7470,T1
7471,T1
7472,T1
7473,T1
7474,T1
7475,T1
7476,T1
7477,T1
7478,T1
7479,T1
7480,T1
7481,T1
7482,T1
7483,T1
7484,T1
7485,T1
7486,T1
7487,T1
7488,T1
7489,T1
7490,T1
7491,T1
7492,T1
7493,T1
7494,T1
7495,T1
7496,T1
7497,T1
7498,T1
7499,T1
7500,T1
7501,T1
7502,T1
7503,T1
7504,T1
7505,T1
7506,T1
7507,T1
7508,T1
7509,T1
7510,T1
7511,T1
7512,T1
7513,T1
7514,T1
7515,T1
7516,T1
7517,T1
7518,T1
7519,T1
7520,T1
7521,T1
7522,T1
7523,T1
7524,T1
7525,T1
7526,T1
7527,T1
7528,T1
7529,T1
7530,T1
7531,T1
7532,T1
7533,T1
7534,T1
7535,T1
7536,T1
7537,T1
7538,T1
7539,T1
7540,T1
7541,T1
7542,T1
7543,T1
7544,T1
7545,T1
7546,T1
7547,T1
7548,T1
7549,T1
7550,T1
7551,T1
7552,T1
7553,T1
7554,T1
7555,T1
7556,T1
7557,T1
7558,T1
7559,T1
7560,T1
7561,T1
7562,T1
7563,T1
7564,T1
7565,T1
7566,T1
7567,T1
7568,T1
7569,T1
7570,T1
7571,T1
7572,T1
7573,T1
7574,T1
7575,T1
7576,T1
7577,T1
7578,T1
7579,T1
7580,T1
7581,T1
7582,T1
7583,T1
7584,T1
7585,T1
7586,T1
7587,T1
7588,T1
7589,T1
7590,T1
7591,T1
7592,T1
7593,T1
7594,T1
7595,T1
7596,T1
7597,T1
7598,T1
7599,T1
7600,T1
7601,T1
7602,T1
7603,T1
7604,T1
7605,T1
7606,T1
7607,T1
7608,T1
7609,T1
7610,T1
7611,T1
7612,T1
7613,T1
7614,T1
7615,T1
7616,T1
7617,T1
7618,T1
7619,T1
7620,T1
7621,T1
7622,T1
7623,T1
7624,T1
7625,T1
7626,T1
7627,T1
7628,T1
7629,T1
7630,T1
7631,T1
7632,T1
7633,T1
7634,T1
7635,T1
7636,T1
7637,T1
7638,T1
7639,T1
7640,T1
7641,T1
7642,T1
7643,T1
7644,T1
7645,T1
7646,T1
7647,T1
7648,T1
7649,T1
7650,T1
7651,T1
7652,T1
7653,T1
7654,T1
7655,T1
7656,T1
7657,T1
7658,T1
7659,T1
7660,T1
7661,T1
7662,T1
7663,T1
7664,T1
7665,T1
7666,T1
7667,T1
7668,T1
7669,T1
7670,T1
7671,T1
7672,T1
7673,T1
7674,T1
7675,T1
7676,T1
7677,T1
7678,T1
7679,T1
7680,T1
7681,T1
7682,T1
7683,T1
7684,T1
7685,T1
7686,T1
7687,T1
7688,T1
7689,T1
7690,T1
7691,T1
7692,T1
7693,T1
7694,T1
7695,T1
7696,T1
7697,T1
7698,T1
7699,T1
7700,T1
7701,T1
7702,T1
7703,T1
7704,T1
7705,T1
7706,T1
